과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,문제,189조,법원의 판단,안녕하세요 임병웅변리사님! 5번에서 결정을 취소할 수 없다고 하는데 특허법원은 결정취소하고 환송할 수 있는거 아닌가요? 해설에도 조문은 취소하여야한다 라고하고 자판이 안된다고 나와있어서 5번지문이 왜 틀린건지 모르겠습니다... 알려주세요! 감사합니다!!,밑에 보면 동일한 질문을 계속 하고 있습니다. 한 번 읽어 보세요~, ,,17.10.23
특허법,조문,186조,심결취소소송에서 심리범위,"심결취소소송에서의 심리범위와 관련하여 판례는 특허취소결정과 거절결정불복심판의 심결에 대한 취소소송의 경우를 제외하고는 원칙적으로 무제한설을 채택하고 있습니다. 그런데 제한설이 적용되는 심판에 거절결정불복심판, 특허취소신청 외에 정정심판도 포함되어야 하는 것이 아닌지 궁금합니다. 거절결정불복심판 및 특허취소신청의 경우에 제한설을 적용하는 이유가 특허청장이 거절이유통지에 기재되어 있지 아니한 새로운 사유를 주장할 경우 출원인이 새로운 사유에 대하여 의견서나 보정서를 제출할 수 있는 기회를 박탈당하기 때문인데, 정정심판의 경우에도 정정의 범위를 만족하지 않는 경우 심판관이 청구인에게 그 이유를 통지하고 의견서를 제출할 수 있는 기회를 주게되어 있고, 소송단계에서는 명세서 및 도면의 보정을 허용하지 아니하고 있어(심리종결 전까지만 가능하므로) 무제한설을 적용할 경우, 의견서나 보정서를 제출할 수 있는 기회를 박탈당하는 것은 동일하기 때문에 제한설을 적용해야 하는 것처럼 보입니다. 정정심판의 경우 무제한설을 적용하는 것인지, 제한설을 적용하는 것인지 여부와 무제한설을 적용한다면 그 이유가 궁금합니다.","무제한설을 취하고 있습니다. 정정심판청구한 것을 보정하고 싶으면, 다시 정정심판을 청구하면 되기 때문입니다. 열공하세요~", ,,17.11.04
특허법,문제,186조,특허법원에서의 심리범위,16년도 기출문제에서 특허법원에서 주장하지 아니하였다가 상고심에 이르러 비로소 주장하는 새로운 사실은 적법한 상고이유가 될 수 없다. 가 맞는 지문이라고 나오는데요. 무제한설은 대법원으로 상고할때는 적용이 되지 않는건가요??,"대법원은 사실심이 아니라 법률심입니다. 즉, 대법원 전 단계에서 확정된 사실관계에 의해 법의 적용이 타당한지 여부를 심리하게 됩니다. 열공하세요~", ,,17.11.06
특허법,조문,186조,7항 특허법원에 대가 불복 불가,"임병웅 변리사님 안녕하세요. 190조 1항에서 138조 통실허 심판에 따른 보상금 (대가)에 관하여는 법원에 소송을 제기할 수 있다고 나와있는데요. 반면 186조 7항은 162조 제2항 제5호 (138 통상실시권의 대가) 에는 법원에 소송을 제기할 수 없다고 나와있습니다. 통실허로 인한 실시권의 대가만을 불복하기 위해서는 법원에 소송을 제기할 수 있는지, 아니면 186조 7항의 심판비용과 같이 행정심판으로 불복해야 하는 것인지 궁금합니다.","안녕하세요? 법 제186조제7항을 잘 읽어보면, 제1항의 소, 즉 특허법원에 소를 제기할 수 없다는 것입니다. 이 경우 법 제190조에 따라 민사법원에 소 제기가 가능합니다. 열공하세요~ 답글기능 더보기", ,,17.11.07
특허법,문제,186-189,특허취소신청의 각하결정,"안녕하세요 변리사님. 객관식 문제집 849번의 4번에서 '특허취소신청인은 특허취소신청의 각하결정이 있는 경우, 특허청장을 피고로 하여 특허법원에 불복할 수 있다.'라는 지문에서 각하결정이 심판관의 각하결정인지, 심판장의 각하결정인지 구분 할 수 있는 지 궁금합니다. 저는 이 지문에서 무엇을 근거로 심판장의 각하결정과 심판관 합의체의 각하결정을 구분 해야 하는 지 모르겠습니다.",안녕하세요? 심판장 - 취소신청서 - 각하결정 심판관합의체 - 취쇠신청 - 각하결정 입니다. 법조문 공부를 조금 더 충실히 해 보세요~, ,,17.12.04
특허법,문제,186조,소의 이익 존부,"이번 2018년 55회 변리사 1차 시험 대비 모의고사 19번 문제, 2번 보기에서 질문입니다. 심판청구 전부터 이해관계가 없었음에도 불구하고 본안심결이 이루어졌고 심결에 대한 심결취소소송이 제기된 경우, 소의 이익의 존부는 사실심 변론 종결시를 기준으로 판단하여야 하므로 아해관계가 인정되지 아니하는 자가 청구한 소송은 소각하 되는 것이 당연하다. 라는 보기가 틀린 보기입니다. 해설은 심결취소소송은 심결의 위법성 일반을 다투는 절차인 바 심결취소소송을 인용하는 판결을 하여야 한다. 라고 명시되어 있습니다. 왜 인용하는 판결을 하여야 하는지 그렇다면 이해관계는 소송에서 언제 판단하는지 질문하고 싶습니다. 제가 전반적으로 소송에 대해서는 절차를 이해하고 있지 못하다는 생각도 들기는 합니다.","소의 이익이란 원고가 심결을 취소할 이익입니다. 각하심결이 내려져야 하는데 본안심결(인용심결)이 내려진 경우 원고(심판피청구인)는 인용심결을 취소할 이익이 있는 것이고, 본안심리를 하여 취소환송하면 심판원에서 각하심결이 내려지게 됩니다. 그러나, 본안심결이 기각심결이라면, 기각이나 각하나 심판청구인이 심판에서 지는 것이 매한가지이기 때문에 소의 이익이 없다는 이유로 소각하됩니다. 강의노트의 그림을 참조하세요~", ,,17.12.05
특허법,조문,189조,법원의 취소,"안녕하세요 변리사님. 문제 중 '특허법원은 특허심판원의 심결에 대한 취소청구가 이유 있다고 인정하더라도 그 심결에서 판단의 대상이 된 특허청의 결정을 취소 할 수 없다'라는 지문에서 위 '특허청의 결정을 취소한다'는 의미는, 특허법원이 취소심판의 이유가 정당하다고 판단하여 내리는 결정이나 심결 취소와 어떻게 다른 것인가요? 특허청의 결정이 곧 심결 or 취소결정 아닌가요?",안녕하세요? 밑에 동일한 질문이 여러개 있습니다. 검색해 보고 추가적인 궁금사항이 있으면 질문해 주세요., ,,17.12.05
특허법,문제,186조,186조(심결 등에 대한 소)와 관련하여 소의 취하에 관해 질문이 있습니다.,"안녕하세요 임병웅 변리사님! 소의 취하와 관련하여 궁금한점이 있어서 질문을 드리게 되었습니다. 답변 항상 감사합니다! 1.""소의 취하""란 원고가 제기한 소의 전부나 일부를 철회하는 법원에 대한 단독적 소송행위로서, 이에 의하면 소송계속이 소급하여 소멸되므로 소송이 종료된다. 소의 취하는 소의 전부나 일부에 대하여 할 수 있으므로 특허소송에서도 수개의 청구항에 대하여 소송이 계속되고 있는 경우에 원고는 일부 청구항에 대하여 소를 취하할 수 있다. ---> 심판 청구의 경우 심판을 취하한 경우에는 심판청구기간 내라면 다시 심판을 청구 할 수 있다고 알고 있습니다(예를 들어 거절 결정 불복 심판). 소의 취하를 한 경우에도 제소 기간 내라면 다시 소를 제기 할 수 있을까요? 즉, 소를 제기 했다가 취하한 경우에도 심결은 심결등본 송달일로 부터 30일이 경과해야지 심결이 확정될까요?(아니면 혹시 소를 취하한경우 심결이 확정되는게 아닌가 해서 질문을 드립니다.) 2. 만약 제소기간(심결등본 송달일부터 30일)이 지나서 소를 취하한 경우 소송계속이 소급하여 소멸되므로 심결등본 송달일부터 30일이 지난 다음날에 심결이 확정된다고 생각할 수 있을까요?(아니면 소 취하시에 심결이 확정되는 걸까요?)",안녕하세요? 1. 30일이 지난 후 확정됩니다. 그 전이라면 다시 소 제기가능합니다. 2. 소 취하시에 심결이 확정됩니다. 확정이란 더 이상 불복할 수 없는 상태에 이른 것입니다. 정의에 맞게 해석하면 됩니다. 열공하세요~, ,,17.12.06
특허법,조문,186조,심결취소소송에서 심리범위,"http://m.cafe.daum.net/ezpatent/7ZI0/140# 게시글에서 변리사님이 ""무제한설을 취하고 있습니다. 정정심판청구한 것을 보정하고 싶으면, 다시 정정심판을 청구하면 되기 때문입니다."" 라고 하셨는데요 정정심판에서 판례가 무제한설을 취하는 것 같지 않습니다 무엇보다 2006후2660에서는 ""의견서 제출기회를 부여하는 구 특허법(2001. 2. 3. 법률 제6411호로 개정되기 전의 것) 제136조 제4항은 정정청구에 대한 심사의 적정을 기하고 심사제도의 신용을 유지하기 위한 공익상의 요구에 기인하는 이른바 강행규정이므로, 정정심판이나 그 심결취소소송에서 정정의견제출통지서를 통하여 심판청구인에게 의견서 제출 기회를 부여한 바 없는 사유를 들어 정정심판청구를 기각하는 심결을 하거나 심결취소청구를 기각하는 것은 위법하나""라고 밝히고 있는데 결정계 심판은 제한설을 당사자계 심판은 무제한설을 적용한다는 통설적 견해에서 이를 무제한설로 평가한다고 볼 수 있을지 궁금합니다 그리고 정정심판이 시기적으로 언제든 청구할 수 있는 것이 아닐 뿐더러 (무효심판 혹은 특허취소신청이 계속 중일 때는 정정청구만 가능한 걸로 알고 있습니다 정정청구는 무효심판 확정시 확정되고 무효심판청구한 상대방이 심판을 취하하는 경우 정정청구도 소급하여 계속이 소멸되므로 이점 실익 있어보입니다) 정정심판을 언제든 청구할 수 있다는 이유로 무제한설로 본다면 결국 절차권을 박탈당한 출원인에게 다시 그 절차를 밟을 수 있음을 이유로 새로 절차를 개시할 것을 강요하는 것이 되어 가혹해 보입니다 답변 부탁드립니다","판례는 의견제출기회를 준 적 없는 것을 가지고 기각하는 것을 인정하지 않는다는 것이고, 심리범위와는 무관한 내용입니다. 즉 특허법원에서도 의견제출기회를 주었다면 위법하지 않게 됩니다. 한편, 정정심판 또는 정정청구에 의해 특허권자에게 방어적 기회를 주는 것은 똑같기 때문에, 절차권을 박탈한다는 주장도 동의하기가 어렵네요. 다만, 의견제출기간내 정정명세서를 재보정할 수 있는 기회가 심판원에서 주어지는데, 특허법원에서도 주어지지 않습니다. 이를 특허권자의 기회 박탈로 볼 것이가 아니면 다시 정정심판을 청구할 수 있기 때문에 기회 박탈로 보지 않을 것인가의 문제가 있는 것 같습니다. 열공하세요~", ,,17.12.14
특허법,문제,,특허법원에서 소 제기가 인정되지 않는 경우 질문드립니다.,객관식 문제집 845쪽에 있는 문제집의 지문인데요 정정심결은 특허법원에 소 제기가 가능하다고 되어 있는데 결정계인 정정심판에서 정정을 인정하는 심결이 있었을때 심결취소소송을 제기할 실익이 있는건지 의문이 듭니다!!,정정을 인정하는 심결에 대해서는 소제기가 허용되지 않습니다. 정정기각심결이 특허법원에 소제기가 가능합니다., ,,17.12.20
특허법,문제,186-189조,[186~189] 특허객관식 질문입니다.,"안녕하세요 임병웅 변리사님! 객관식 문제집을 풀다가 궁금한 부분이 생겨 질문드립니다. 858번 5번에서 심결취소소송에서 청구의 인락이나 소송상 화해는 불가능하다. 가 맞는 보기이고, 857번 2번 보기에서 심결 후에 당사자가 화해 및 소를 취하하기로 합의한 경우에는 사실심 변론 종결시를 기준으로 할 때 더 이상 심결을 취소할 이익이 없으므로 부적법 소각하 판결을 한다는게 맞는 보기인데, 여기서 소송상 화해, 청구의 포기, 인락 // 당사자간 화해 및 소를 취하하기로 합의 로 구분해서 전자는 불가능하고 후자는 가능한 걸로 이해했습니다. 전자와 후자가 어떤 부분에서 차이가 있길래 전자는 불가능하고 후자는 가능한지 궁금합니다. 항상 건강하시기 바랍니다. 감사합니다.",안녕하세요? 전자는 판결의효력(기판력)과 동등한 효력이 생긴다는 점에서 차이가 있습니다. 이건 민사소송법을 배워야 정확히 이해할 수 있습니다. 열공하세요~, ,,17.12.20
특허법,문제,186-189조,특허소송 객관식 849p 질문 있습니다,"안녕하세요 변리사님~ 849번 4번 지문 : 특허취소신청인은 특허취소신청의 각하결정이 있는 경우 특허청장을 피고로 하여 특허법원에 불복할 수 있다. 가 틀린 보기로 나와 있습니다. 심판장이 한 각하결정은 특허취소신청인이 특허청장을 상대로 불복할 수 있고 심판관합의체가 한 각하결정은 불복할 수 없는데, 보기처럼 그냥 '각하결정'이라고만 나와있는 경우에는 정오를 판별할 수 없지 않나요? 항상 친절한 답변 감사드립니다.",안녕하세요? 법조문 공부가 제대로 되어 있지 않은 것 같습니다. 심판장 - <취소신청서> - 각하결정 심판관합의체 - <취소신청> - 각하결정 입니다. 다시 한 번 법조문 찾아서 정리하세요~, ,,17.12.21
특허법,문제,186-189조,특허소송 질문입니다!,"안녕하세요 임병웅 변리사님 특허 객관식 문제집을 풀다가 궁금한 점이 생겨 질문드립니다. (1)번 질문: 866번 문제 보기 5번이 맞는 보기인데요. 헷갈리는 부분이 있습니다. 5번 보기 : 특허법원은 특허심판원의 심결에 대한 취소청구가 이유 있다고 인정하더라도 그 심결에서 판단의 대상이 된 특허청의 결정을 취소할 수 없다. 5번 해설 : 법원은 특허소송이 제기된 경우에 그 청구가 이유없을 때에는 청구 기각판결을 하며, 청구가 이유있다고 인정한 때에는 판결로써 해당 심결 또는 결정을 취소하여야 한다. 다만, 법원이 자판하여 구체적인 행정처분의 판결을 내리는 것은 법원이 행정권을 행사하는 것이 되어 권력분립의 원칙에 반하므로 허용되지 않는다. 특허법원에서 자판하여 판결을 내리는 것은 행정권을 행사하는 것이라서 허용되지 않는 것은 알겠는데, 특허법원에서 심판원에서 내린 심결이나 결정을 취소하는 판결을 내리는 것은 맞지 않나요? 5번 보기에서 ""판단의 대상이 된 특허청의 결정을 취소할 수 없다.""와 5번 해설의 ""판결로써 해당 심결 또는 결정을 취소하여야 한다.""가 어떤 부분에서 차이가 생겨서 5번 보기에서 결정을 취소할 수 없다고 하는지 잘 모르겠습니다. ""판결""이란 말이 안들어가서 인가요..? (2)번 질문: 재심에서 재심 대상읜 확정된 취소결정, 확정된 심결인데, 866번 1번 보기(옳은 보기)에서 민사소송법상 판결에 기초가 된 민사나 형사의 판결 등의 재판 또는 행정처분이 재심사유라고 나와있는 것을 보고 궁금증이 생겼습니다. 178조 내에 해당하는 재심범위에 포함되지 않는게 아닌가요?? 그리고 만약 재심사유가 존재해서 재심을 청구하면, 민사소송법상 소송판결은 재심으로 하고, 심판원 심결(ex. 권리범위확인심판)은 특허법원으로 환송되어 무제한설이므로 정정된 명도로 다시 심리하는건가요?? 1번 보기: 특허발명에 관한 권리범위 확인심판 심결취소소송의 상고심 계속 중 그 특허의 정정 심결이 확정된 경우, 정정 전의 특허발명을 대상으로 하여 확인대상발명이 그 특허 발명의 권리범위에 속하는지 여부를 심리, 판단한 원심판결에는 민사소송법상 판결에 기초가 된 민사나 형사의 판결, 그 밖의 재판 또는 행정처분이 다른 재판이나 행정처분에 의하여 바뀐 때에 해당하는 재심사유가 존재한다. 질문이 길어 죄송합니다. 항상 행복하세요. 저작자 표시컨텐츠변경비영리","안녕하세요? 1. 밑에 제189조로 검색해 보세요. 단골 질문입니다. 2. 판례의 요지에 대한 이해가 부족합니다. 판례는 민소법 제451조제1항제8호의 법령위반이 있어서 상고가 인용되어야 한다는 것이고, 재심청구에 대한 판례가 아닙니다. 열공하세요~", ,,17.12.21
